Disease,Text Pattern
arthritis,"Recently, the muscles in my neck have become tight and weak. It's difficult for me to run now since my joints are older without getting tight. The act of walking has also been quite unpleasant."
arthritis,"I've been experiencing stiffness and weakness in my neck muscles recently. Since my joints have grownup, it's heavy on behalf of American state to run whereas not getting stiff. additionally, walking has been very uncomfortable."
arthritis,"Recently, the muscles in my neck have become tight and weak. Since my joints have matured, it is difficult for the American government for me to run without becoming stiff. Walking has also been quite unpleasant."
arthritis,"Lately, I've been having stiffness and weakness in my neck muscles. Since my joints have matured, it is difficult for the American state to operate without becoming stiff. Furthermore, walking has been quite painful."
asthma_attack,I feel like an elephant is sitting on my chest
asthma_attack,My breathing is shallow and wheezy
asthma_attack,It's like trying to breathe through a straw
asthma_attack,I can't catch my breath no matter how hard i try
asthma_attack,My chest tightens and it's hard to speak
asthma_attack,I'm gasping for air like a fish out of water
asthma_attack,Each breath feels like a struggle
asthma_attack,I feel like i'm suffocating
asthma_attack,My chest feels constricted and heavy
asthma_attack,It's like someone is squeezing my lungs
asthma_attack,Breathing in hurts like sharp needles
asthma_attack,My throat feels itchy and tight
asthma_attack,I can't take a deep breath without coughing
asthma_attack,My chest burns with each inhale
asthma_attack,The air feels thick and hard to breathe
asthma_attack,I feel a constant pressure in my chest
asthma_attack,I'm lightheaded and dizzy from lack of oxygen
asthma_attack,My heart races as i struggle to breathe
asthma_attack,It's like someone is blocking my airway
asthma_attack,I can't talk without losing my breath
asthma_attack,Breathing feels like a chore
asthma_attack,I feel like i'm drowning in air
asthma_attack,My chest feels like it's on fire
asthma_attack,I can't stop coughing and wheezing
asthma_attack,Each breath is a fight for air
asthma_attack,I feel like i'm being suffocated by my own body
asthma_attack,My ribs ache from the effort of breathing
asthma_attack,It's like my lungs are shutting down
asthma_attack,I feel a constant tightness in my chest
asthma_attack,I can't take a full breath without gasping
asthma_attack,My breathing is rapid and labored
asthma_attack,I'm struggling to get enough air into my lungs
asthma_attack,I feel like i'm breathing through a straw
asthma_attack,My chest feels like it's in a vice grip
asthma_attack,It's hard to speak with the shortness of breath
asthma_attack,I'm wheezing with every breath
asthma_attack,My chest feels like a weight is on it
asthma_attack,Breathing in hurts like sharp knives
asthma_attack,I can't exhale fully without coughing
asthma_attack,It's like my airway is closing up
asthma_attack,I feel a tightness in my chest that won't go away
asthma_attack,I'm dizzy and lightheaded from lack of oxygen
asthma_attack,My chest feels like it's being squeezed
asthma_attack,Breathing is a struggle with each inhale
asthma_attack,I feel like i can't get enough air
asthma_attack,It's like someone is pressing down on my chest
asthma_attack,I'm gasping for air like a fish
asthma_attack,My chest is tight and constricted
asthma_attack,I feel like i'm panting just to breathe
asthma_attack,It's hard to breathe deeply without coughing
athlete's_foot,"My feet are so itchy, and there are red, scaly patches between my toes"
athlete's_foot,I have this burning sensation on the bottom of my feet that won't go away
athlete's_foot,"It feels like there are tiny blisters all over my feet, and they're really uncomfortable"
athlete's_foot,"The skin on my feet is cracking and peeling, especially near my toenails"
athlete's_foot,"I noticed a foul odor coming from my feet, and it's embarrassing"
athlete's_foot,"My feet are constantly sweating, and it's making the skin between my toes really sore"
athlete's_foot,"There are small, red bumps on my feet that are incredibly itchy and painful"
athlete's_foot,"The itching is driving me crazy, and i can't stop scratching my feet"
athlete's_foot,"I have this thick, yellowish discharge between my toes that won't go away"
athlete's_foot,It feels like i have a burning sensation that radiates up my legs from my feet
athlete's_foot,"The skin on my feet feels raw and tender, especially when i walk"
athlete's_foot,I have this persistent rash on my feet that won't clear up with overthecounter creams
athlete's_foot,"My feet feel swollen and tender, and i can barely fit into my shoes"
athlete's_foot,"There are patches of dry, flaky skin on my feet that keep coming back"
athlete's_foot,I have these painful cracks on my heels that make it hard to walk
athlete's_foot,The skin on my feet is so itchy that i can't sleep at night
athlete's_foot,I noticed that the skin on my feet is discolored and looks unhealthy
athlete's_foot,"It feels like my feet are on fire, especially when i take off my shoes"
athlete's_foot,I have this intense itching that seems to get worse after i exercise
athlete's_foot,The burning sensation on my feet is making it hard to focus on anything else
athlete's_foot,"My feet are constantly peeling, and it's really unsightly"
athlete's_foot,"I have these raised, red patches on my feet that are really painful"
athlete's_foot,The itching is so bad that i'm starting to develop blisters on my feet
athlete's_foot,I can't wear socks because the itching is unbearable when my feet are covered
athlete's_foot,"The skin on my feet feels rough and bumpy, like sandpaper"
athlete's_foot,"I have this throbbing pain in my feet, especially after i've been standing for a while"
athlete's_foot,The itching is so intense that i've accidentally scratched my skin raw
athlete's_foot,"My feet feel like they're on pins and needles, and it's incredibly uncomfortable"
athlete's_foot,I noticed that the skin on my feet is becoming thick and calloused
athlete's_foot,"The itching is worse in between my toes, and it's driving me crazy"
athlete's_foot,"I have these tiny, fluidfilled blisters on my feet that keep popping up"
athlete's_foot,"The skin on my feet feels tight and stretched, like it's about to crack"
athlete's_foot,"I have this constant urge to scratch my feet, even though i know it makes it worse"
athlete's_foot,"The itching is so bad that i've tried every cream i can find, but nothing helps"
athlete's_foot,I noticed that the skin on my feet is starting to peel in large sheets
athlete's_foot,"My feet feel hot and swollen, like they're going to burst out of my shoes"
athlete's_foot,I have this persistent redness on my feet that just won't go away
athlete's_foot,"The itching is worse at night, and it keeps me awake for hours"
athlete's_foot,"I have these raised, scaly patches on my feet that are incredibly itchy"
athlete's_foot,The skin on my feet feels like it's burning from the inside out
athlete's_foot,I've developed these painful cracks on the sides of my feet that won't heal
athlete's_foot,The itching is so bad that i've resorted to soaking my feet in cold water for relief
athlete's_foot,I noticed that the skin on my feet is starting to peel away in layers
athlete's_foot,My feet are so sensitive that even the slightest touch causes pain
athlete's_foot,The itching is so intense that i've started to avoid wearing shoes altogether
athlete's_foot,I have these deep cracks on my heels that bleed when i walk
athlete's_foot,"The skin on my feet feels tight and stretched, like it's going to split open"
athlete's_foot,"I have these raised, itchy bumps on my feet that keep spreading"
athlete's_foot,"The itching is unbearable, and i'm starting to feel anxious because of it"
athlete's_foot,I can't stand the burning sensation on my feet anymore; it's affecting everything i do
back_strain,"My back feels stiff and achy, especially when i bend over"
back_strain,I have shooting pain down my leg whenever i try to stand up
back_strain,It's like a sharp knife stabbing me in the lower back every time i move
back_strain,I can barely twist my torso without feeling a sharp twinge
back_strain,My back muscles feel like they're constantly clenched
back_strain,The pain in my lower back is throbbing and relentless
back_strain,I feel a dull ache in my upper back that won't go away
back_strain,Every step i take sends a jolt of pain through my back
back_strain,It hurts to even sit down for more than a few minutes
back_strain,"My back feels like it's on fire, especially after i lift something heavy"
back_strain,I woke up this morning and could barely get out of bed due to the pain
back_strain,"My back feels so weak and unstable, like it might give out at any moment"
back_strain,I have a constant dull ache in my midback that won't let up
back_strain,"It feels like my back is in a vice grip, squeezing tighter with every move"
back_strain,The pain radiates from my lower back all the way down to my toes
back_strain,"I feel a sharp, shooting pain whenever i try to bend forward"
back_strain,My back muscles are so tender and sore to the touch
back_strain,I can't even lift my arms without feeling a strain in my upper back
back_strain,The pain in my back is making it hard to get a good night's sleep
back_strain,I feel a deep ache in my lower back that gets worse with each step
back_strain,It's like a constant pressure on my spine that won't let up
back_strain,I have a stabbing pain in my back that comes and goes unpredictably
back_strain,I feel a sharp twinge in my back every time i cough or sneeze
back_strain,"My back feels so stiff and rigid, like i can't move properly"
back_strain,The pain in my back is making it hard to focus on anything else
back_strain,I can't even sit up straight without feeling a sharp pain in my back
back_strain,It hurts to lift anything even remotely heavy without straining my back
back_strain,I feel a tugging sensation in my lower back whenever i try to stand up straight
back_strain,"My back feels so tender and inflamed, like it's swollen from the inside"
back_strain,I have shooting pains that travel up and down my spine with each movement
back_strain,I feel a constant ache in my back that worsens throughout the day
back_strain,"The pain in my back is so intense, it's hard to find a comfortable position"
back_strain,"My back feels so weak and fragile, like it might give out at any moment"
back_strain,"I have a sharp, shooting pain in my back whenever i try to bend over"
back_strain,"It's like a deep, gnawing ache in my back that never lets up"
back_strain,I feel a sharp twinge in my back every time i try to lift something
back_strain,"The pain in my back is so severe, it's affecting my ability to walk properly"
back_strain,I can't even bend down to tie my shoes without feeling a strain in my back
back_strain,"My back feels so tense and knotted up, like i've been carrying a heavy load"
back_strain,I feel a stabbing pain in my back every time i try to reach for something
back_strain,It's like a constant pressure in my lower back that's weighing me down
back_strain,I have shooting pains that radiate from my back down to my hips
back_strain,"I feel a dull, persistent ache in my upper back that won't go away"
back_strain,"The pain in my back is so intense, it's hard to take a deep breath"
back_strain,I can't even turn my head without feeling a strain in my neck and back
back_strain,"My back feels so sore and tender, like i've been carrying a heavy load all day"
back_strain,"I have sharp, shooting pains in my back that come and go suddenly"
back_strain,It's like a constant ache in my lower back that flares up with any movement
back_strain,I feel a sharp twinge in my back every time i try to lift something even slightly heavy
back_strain,"The pain in my back is so debilitating, it's affecting my daily activities and mood"
bee_sting,"I got stung by a bee, and my arm is swollen and red"
bee_sting,The bee sting is throbbing and feels hot to touch
bee_sting,I can see a small bump where the bee stung me
bee_sting,My skin is itchy and irritated around the bee sting site
bee_sting,The area around the bee sting is tender and painful
bee_sting,I feel a burning sensation where the bee stung me
bee_sting,The bee sting site is swollen and feels warm
bee_sting,I have a red rash spreading from the bee sting
bee_sting,My bee sting is oozing clear fluid
bee_sting,I feel nauseous and dizzy after the bee sting
bee_sting,The bee sting area is numb and tingly
bee_sting,I have difficulty breathing since the bee sting
bee_sting,"I'm experiencing a sharp, shooting pain from the bee sting"
bee_sting,My bee sting is turning purple and bruised
bee_sting,The bee sting site is hard and raised
bee_sting,I have a headache and fever after the bee sting
bee_sting,The bee sting is making me feel weak and tired
bee_sting,There are multiple red dots around the bee sting
bee_sting,My bee sting is surrounded by a red circle
bee_sting,The bee sting area is itchy and swollen
bee_sting,I feel a pulsating sensation at the bee sting site
bee_sting,"The bee sting is causing a burning, stinging pain"
bee_sting,I have a metallic taste in my mouth from the bee sting
bee_sting,The bee sting is making me feel anxious and jittery
bee_sting,My bee sting is making my heart race
bee_sting,I'm experiencing chills and shivers after the bee sting
bee_sting,The bee sting site is becoming increasingly painful
bee_sting,I feel lightheaded and faint from the bee sting
bee_sting,The bee sting area is turning dark and discolored
bee_sting,I have a tingling sensation spreading from the bee sting
bee_sting,"My bee sting feels like a constant, dull ache"
bee_sting,I'm noticing swelling in my face after the bee sting
bee_sting,"The bee sting is causing a burning, prickling sensation"
bee_sting,I feel like my throat is closing up after the bee sting
bee_sting,My bee sting is making me feel restless and agitated
bee_sting,I have a metallic taste in my mouth from the bee sting
bee_sting,The bee sting is making me feel dizzy and disoriented
bee_sting,I feel like my skin is crawling around the bee sting
bee_sting,I'm experiencing muscle cramps near the bee sting
bee_sting,The bee sting area is hot to the touch and swollen
bee_sting,I have a throbbing pain radiating from the bee sting
bee_sting,"My bee sting is causing a sharp, shooting pain"
bee_sting,I feel nauseous and feverish after the bee sting
bee_sting,The bee sting site is pulsating and tender
bee_sting,I have a tingling sensation around the bee sting area
bee_sting,The bee sting is making me feel exhausted and weak
bee_sting,I feel like my body is on fire from the bee sting
bee_sting,"My bee sting is surrounded by a red, raised bump"
bee_sting,The bee sting site feels like it's on fire
bee_sting,"I'm experiencing a burning, itching sensation from the bee sting"
blepharitis,My eyelids are so itchy and red
blepharitis,It feels like there's something gritty in my eyes
blepharitis,My eyes are always watery and irritated
blepharitis,The skin around my eyes is flaky and swollen
blepharitis,I wake up with crusty eyelids every morning
blepharitis,My eyes burn and sting all the time
blepharitis,I have this persistent feeling of dryness in my eyes
blepharitis,My eyelids look puffy and inflamed
blepharitis,I keep rubbing my eyes because they feel so uncomfortable
blepharitis,There's a constant sensation of something crawling on my eyelids
blepharitis,I've noticed dandrufflike flakes on my eyelashes
blepharitis,My eyes are sensitive to light and feel sore
blepharitis,I feel like my eyelids are sticking together
blepharitis,My eyelids feel heavy and droopy
blepharitis,It's like my eyelids are greasy and crusted
blepharitis,I have a hard time wearing my contact lenses due to eye irritation
blepharitis,My eyes feel swollen and tender to the touch
blepharitis,I can see scales or crusts at the base of my eyelashes
blepharitis,My eyes are red and bloodshot
blepharitis,I have a constant urge to rub my eyes
blepharitis,My eyelids are swollen and painful
blepharitis,I've been experiencing blurry vision along with eye discomfort
blepharitis,It feels like my eyelids are inflamed and sore
blepharitis,My eyes feel warm and itchy
blepharitis,I notice tiny mites at the base of my eyelashes
blepharitis,My eyes are always teary and uncomfortable
blepharitis,I've been waking up with eye discharge every day
blepharitis,My eyelids feel tender and sore to the touch
blepharitis,I keep getting recurrent styes on my eyelids
blepharitis,It feels like my eyelids are stuck together when i wake up
blepharitis,My eyes feel like they're constantly burning
blepharitis,I have a sensation of grittiness in my eyes
blepharitis,My eyes feel dry and irritated all the time
blepharitis,I've noticed my eyelashes falling out more than usual
blepharitis,I feel like there's a film over my eyes
blepharitis,My eyelids have been red and swollen for weeks
blepharitis,I have a hard time keeping my eyes open due to discomfort
blepharitis,It's like my eyelids are inflamed and itchy
blepharitis,My eyes feel sore and gritty
blepharitis,I've been experiencing a lot of eye pain and sensitivity
blepharitis,My eyelids feel thick and crusty
blepharitis,I keep having episodes of blurry vision and eye irritation
blepharitis,I feel like my eyes are constantly watering
blepharitis,I've noticed scaly patches on my eyelids
blepharitis,My eyes feel tired and heavy all the time
blepharitis,I can't stop blinking because my eyes feel irritated
blepharitis,It feels like there's a foreign body in my eyes
blepharitis,"My eyelids are red, swollen, and flaky"
blepharitis,I have a sensation of burning and itching in my eyes
blepharitis,My eyes feel inflamed and uncomfortable
blister,I have this painful blister on my foot after wearing new shoes
blister,The blister on my hand keeps filling up with clear fluid
blister,"My blister is red and swollen, making it hard to walk"
blister,"I accidentally burned myself, and now a blister has formed"
blister,The blister on my lip is making it difficult to eat
blister,"My blister burst, and now it's oozing yellow pus"
blister,The blister on my finger is itchy and uncomfortable
blister,I noticed a small blister on my heel that's getting bigger
blister,My blister is sensitive to touch and hurts when i walk
blister,The blister on my arm is turning dark and feels warm
blister,My blister is causing a stinging sensation when i touch it
blister,I have a cluster of small blisters on my back
blister,The blister on my toe is making it painful to wear shoes
blister,"My blister is turning into a scab, but it still hurts"
blister,"I woke up with a blister on my lip, and it keeps getting bigger"
blister,The blister on my hand is making it hard to grip things
blister,I have a blister on my tongue that's making it hard to talk
blister,My blister is making my skin feel tight and uncomfortable
blister,The blister on my knee is causing a throbbing pain
blister,"I accidentally popped my blister, and now it's red and swollen"
blister,The blister on my neck is making it hard to turn my head
blister,My blister is making the surrounding skin feel hot and tender
blister,The blister on my thumb is making it hard to write
blister,I have a blister on my nose that's making it hard to breathe
blister,My blister is causing a burning sensation
blister,The blister on my foot is making it hard to stand for long periods
blister,I have a blister on my palm that's making it hard to hold things
blister,My blister is making the area around it red and inflamed
blister,The blister on my finger is making it hard to type
blister,I have a blister on my ankle that's making it hard to walk
blister,My blister is feeling tender and sore to the touch
blister,The blister on my stomach is making it hard to bend over
blister,I have a blister on my ear that's making it hard to hear
blister,"My blister is causing a sharp, shooting pain"
blister,The blister on my elbow is making it hard to straighten my arm
blister,"I accidentally scratched my blister, and now it's bleeding"
blister,The blister on my shoulder is making it hard to lift my arm
blister,My blister is causing a tingling sensation
blister,The blister on my thigh is making it hard to sit comfortably
blister,I have a blister on my chest that's making it hard to breathe deeply
blister,My blister is making the surrounding skin feel numb
blister,The blister on my wrist is making it hard to twist my hand
blister,I have a blister on my hip that's making it hard to walk
blister,My blister is causing a shooting pain down my leg
blister,The blister on my scalp is making it hard to comb my hair
blister,The blister on my face is making it hard to smile
blister,My blister is causing a throbbing pain that won't go away
blister,The blister on my bottom is making it hard to sit
blister,I have a blister on my hand that's making it hard to shake hands
blister,My blister is making the skin around it feel swollen and tight
botulism,"My vision is blurry, and i can't seem to focus"
botulism,I'm experiencing difficulty swallowing and speaking clearly
botulism,My muscles feel weak and shaky all the time
botulism,I have trouble breathing and feel short of breath
botulism,I'm constantly fatigued and lacking energy
botulism,My face feels numb and droopy
botulism,I've been vomiting and experiencing stomach cramps
botulism,My neck feels stiff and rigid
botulism,I have dry mouth and difficulty producing saliva
botulism,I feel dizzy and lightheaded frequently
botulism,I'm sweating excessively without any reason
botulism,My eyelids are drooping uncontrollably
botulism,I have trouble controlling my bladder and bowels
botulism,My hands and feet feel tingly and numb
botulism,I'm experiencing double vision and eye muscle weakness
botulism,I have a persistent headache that won't go away
botulism,"My speech is slurred, and i'm finding it hard to articulate"
botulism,I feel like there's a heavy weight on my chest
botulism,My skin feels sensitive and tingling all over
botulism,I have muscle twitches and spasms
botulism,I'm having trouble concentrating and focusing
botulism,My throat feels tight and constricted
botulism,I'm having trouble sleeping and staying asleep
botulism,I feel fatigued even after getting enough rest
botulism,My body feels heavy and difficult to move
botulism,I'm experiencing difficulty controlling facial expressions
botulism,I have trouble chewing and swallowing food
botulism,I feel like my muscles are cramping up
botulism,My voice sounds hoarse and strained
botulism,I'm experiencing frequent urination and bladder spasms
botulism,My arms and legs feel weak and shaky
botulism,I'm having trouble maintaining my balance and coordination
botulism,I feel like my muscles are stiff and rigid
botulism,I'm experiencing sensitivity to light and sound
botulism,My heart rate feels irregular and fast
botulism,I'm feeling nauseous and have a loss of appetite
botulism,"I'm sweating profusely, especially at night"
botulism,My jaw feels tight and difficult to open
botulism,I'm experiencing muscle pain and soreness
botulism,My hands and fingers feel numb and tingling
botulism,I'm feeling anxious and restless without reason
botulism,I have difficulty controlling my facial expressions
botulism,I feel like my movements are slow and sluggish
botulism,I'm experiencing tremors and shaking in my hands
botulism,"My muscles feel stiff and rigid, especially in the morning"
botulism,I'm having trouble concentrating and remembering things
botulism,I feel weak and fatigued even with minimal activity
botulism,I'm experiencing difficulty controlling my facial muscles
botulism,My body feels achy and sore all over
botulism,I'm finding it hard to breathe deeply and fully
bronchial_asthma,"I have been feeling extremely tired and weak, and I've also been coughing a lot with difficulty breathing. My fever is very high, and I'm producing a lot of mucus when I cough."
bronchial_asthma,"I've got a cough that won't go away, and I'm exhausted. I've been coughing up thick mucous and my fever is also pretty high."
bronchial_asthma,"I have a persistent cough and have been feeling quite fatigued. My fever is through the roof, and I'm having trouble breathing. When I cough, I also cough up a lot of mucous."
bronchial_asthma,"I've been having issues with exhaustion, a dry cough, and breathing. I have a very high fever and have been coughing up a lot of thick, mucoid phlegm."
bronchial_asthma,"I feel really fatigued and weak, and I have a bad cough. My fever is really high, and my breathing has become shallow. When I cough, a lot of saliva comes out as well."
bronchial_asthma,"I've had a lot of sleepiness, a cough that refuses to go away, and breathing difficulty. I've been coughing up a lot of thick, mucoid saliva and have a high fever."
bronchial_asthma,"doctor, i have been having high fever since past few days , saliva also became thick , dry cough , weakness also seen"
bronchial_asthma,"I have a cough that has continued for days, and I feel really weak and tired. My fever is high, and my breath has become strained. When I cough, I also generate a lot of mucus."
bronchial_asthma,"Mom, Dad, I've been feeling really tired and weak lately, and I've had this cough that just won't go away. It's been hard for me to catch my breath, and my fever has been really high. When I cough, I've been producing a lot of mucus."
bronchial_asthma,"Hey Mom, Hey Dad, I've been feeling really exhausted lately and have had this persistent cough. My breathing has become shallow, and my fever is very high. I've also been coughing up a lot of thick, mucoid sputum"
bronchial_asthma,"Recently, I've felt quite weak and exhausted, and I've also had a cough that simply won't go away. My fever has been really high, and it has been challenging for me to catch my breath. I've been making a lot of mucous when I cough."
bronchial_asthma,"I've felt terribly weak and drained, and I've also had a cough that that won't go away. My fever has been exceptionally high, and it has been challenging to try to catch my breath. I've been creating a lot of mucous when I cough."
bronchial_asthma,"I'm feeling really tired and weak lately, and I've had this cough that just won't go away. My breathing has become shallow, and my fever has been really high. When I cough, I've been producing a lot of thick, mucoid sputum"
bronchial_asthma,"feeling extremely exhausted and have had this persistent cough. It's been hard for me to catch my breath, and my fever is very high. I've also been producing a lot of mucus when I cough"
bronchial_asthma,"I've been struggling with fatigue and a constant cough that's been making it difficult to breathe. My fever is high, and I've been coughing up a lot of thick, mucoid sputum."
bronchial_asthma,"I've had a nagging cough that won't go away, and my breathing has become labored. My fever is also very high, and I'm feeling very weak and tired. I've been producing a lot of mucus when I cough"
bronchial_asthma,"I've been experiencing a high fever, a persistent cough, and shortness of breath. I've also been producing a lot of thick, mucoid sputum, and I'm feeling very tired and weak."
bronchial_asthma,"I've been having breathing issues, a persistent cough, and exhaustion. I've been coughing up a lot of thick, mucoid sputum and have a very high fever. I'm just feeling so drained and tired from having to deal with all of this."
bronchial_asthma,"I've had this cough that's been lingering for days and difficulty breathing. My fever is sky-high, and I'm feeling so weak and tired. I've also been producing a lot of mucus when I cough, and it's just been so overwhelming to deal with all of these symptoms. I'm getting so frustrated with all of this."
bronchial_asthma,"I've had a persistent cough for days, and I also have breathing problems. I'm so weak and exhausted, and my fever is through the roof. It's been very difficult to manage all of these symptoms, and I've also been coughing up a lot of mucus. I'm becoming so angry over everything."
bronchial_asthma,"I've been struggling with difficulty breathing, a constant cough, and fatigue. My fever is extremely high, and I've been coughing up a lot of thick, mucoid sputum. It's been so hard to deal with all of this, and I'm just feeling so drained and worn out"
bronchial_asthma,"I've been having breathing issues, a persistent cough, and exhaustion. I've been coughing up a lot of thick, mucoid sputum and have a very high fever. I'm just feeling so exhausted and tired from having to cope with all of this."
bronchial_asthma,"I've been feeling really ill lately. I've had this persistent cough and difficulty breathing, and my fever has been off the charts. I'm also feeling extremely exhausted, and I've been producing a lot of mucus when I cough. It's just been so overwhelming to deal with all of these symptoms"
bronchial_asthma,"Recently, I've been feeling terrible. My fever has been through the roof, and I've had a persistent cough and breathing problems. I've been coughing up a lot of phlegm and am also feeling quite weary. Dealing with all of these symptoms has been quite difficult."
bronchial_asthma,"I've had a fever, a cough that won't go away, and shortness of breath. In addition, I've been coughing up a lot of thick, mucoid saliva and I feel quite worn out and weak."
bronchial_asthma,"Hey, I've had a dry cough, breathing difficulties, as well as a high fever. a lot of mucous is being produced, and I feel incredibly weak and tired."""
bronchial_asthma,"Recently, I have had a number of concerning symptoms, including a dry cough, impaired breathing, a high fever, and a lot of mucus. I also feel very weak and tired."
bronchial_asthma,"I am currently dealing with a number of health issues, including a dry cough, difficulty breathing, a high fever, and increased mucus production. I am also feeling very weak and tired"
bronchial_asthma,"its been a week , i am suffering from continious health issues like dry cough  , problems in breathing , weakness throughout the day."
bronchial_asthma,"Doctor , from couple of days i am not able to brethe propelry , lying on bed due to high fever , lot of mucus gets out . please suggest me some medicines."
bronchial_asthma,"I've been experiencing shortness of breath, a persistent cough, and a high fever. I've also been producing a lot of thick, mucoid sputum, and I'm feeling so drained and exhausted. It's been so hard to deal with all of this."
bronchial_asthma," I'm so weak and exhausted, and my fever is through the roof. It's been very difficult to manage all of these symptoms, and I've also been coughing up a lot of mucus. I'm becoming so angry over everything."
bronchial_asthma," must confess that I've been experiencing shortness of breath, a persistent cough, and a high fever. I've also been producing a lot of thick, mucoid sputum, and I'm feeling quite drained and exhausted. It's all been rather tough to deal with, and I'm feeling quite sick at the moment"
bronchial_asthma,"I must admit that I have been having a high fever, a persistent cough, and shortness of breath. In addition, I've been coughing up a lot of thick, mucoid saliva and I've been feeling really depleted and worn out."
bronchial_asthma,"I've been having a tough time with this constant cough, difficulty breathing, and fatigue. My fever is high, and I've been coughing up a lot of thick, mucoid sputum. It's all been rather draining and exhausting, and I'm feeling quite sick at the moment."
bronchial_asthma,"I've been struggling with a persistent cough, breathing issues, and exhaustion. I've been coughing up a lot of thick, mucoid sputum and have a high fever. All of this has been really tiring and exhausting, and right now I'm feeling rather ill."
bronchial_asthma,"I've been dealing with a bad cough, breathing issues, and drowsiness. I've been coughing up a lot of thick, mucoid sputum and have a high fever. All of this has been really exhausting and exhausting, and right now I'm feeling rather ill."
bronchial_asthma,"My persistent cough, breathing problems, and exhaustion have been making things difficult for me. I've been producing copious amounts of thick, mucoid sputum while also having a high fever. I'm currently feeling fairly ill because everything has been so tiring and exhausting."
bronchial_asthma,"With my persistent cough, respiratory issues, and exhaustion, I've been struggling. I have a high fever and have been producing a lot of thick, mucoid sputum while coughing. I currently feel rather sick as a result of how draining and tiresome everything has been."
bronchial_asthma,"My fever is through the roof, and I'm so weak and tired out. I've been coughing up a lot of mucous, and managing all of these symptoms has been really hard. Everything is making me so upset."
bronchial_asthma,"Doctor Due to a high fever, I haven't been able to breathe via my nose or mouth for a few days and feelinf too tired. Please recommend some medications for me."
bronchial_asthma,"Hey, I've got a dry cough, trouble breathing, and a high fever. I'm producing a lot of mucus and am feeling quite weak and exhausted."
bronchial_asthma,"I've been coughing nonstop for days, and I also have respiratory issues. My fever is through the roof, and I'm so weak and worn out. All of these symptoms have been really challenging for me to control,"
bronchial_asthma,"In addition to sleepiness, I've been having trouble breathing due to a persistent cough. I've been coughing up a lot of thick, mucoid sputum and have a high fever."
bronchial_asthma,"I've been struggling to breathe, coughing constantly, and feeling worn out. I have a very high fever and have been coughing up a lot of thick, mucoid saliva. I simply feel so worn out and exhausted from trying to deal with everything."
bronchial_asthma,"I've been experiencing difficulty breathing, a chronic cough, and weariness. I've been producing a lot of thick, mucoid sputum while also running a very high temperature. Due to having to cope with all of this, I'm simply feeling extremely worn out and exhausted."
bronchial_asthma,"Hello, Mom and Father Recently, I've felt incredibly worn out and have had a cough that won't go away. My fever is really high, and my breathing has become shallow. Additionally, I've been coughing up a lot of mucous, thick sputum."
bronchial_asthma,"I've been struggling with fatigue and a constant cough that's been making it difficult to breathe. My fever is high, and I've been coughing up a lot of thick, mucoid sputum."
bronchial_asthma,"Doctor Due to a high fever, I haven't been able to breathe via my nose or mouth for a few days and feeling too tired.sometimes mucus has been seen too.Please recommend some medications for me."
bronchial_asthma,"I've had ongoing health problems for a week, including a dry cough, breathing difficulties, and general weakness."
bronchitis,I feel like i have a constant cough that just won't go away
bronchitis,"It's hard to breathe, like there's a weight on my chest"
bronchitis,"I keep coughing up mucus, and it's really thick"
bronchitis,My chest hurts every time i cough
bronchitis,I've been wheezing a lot lately
bronchitis,"I'm so tired and run down, can't shake this cough"
bronchitis,Every breath feels like i'm breathing in fire
bronchitis,I can't sleep because of this cough keeping me up
bronchitis,My throat is so sore from all the coughing
bronchitis,I feel like i'm constantly out of breath
bronchitis,I have a fever and this cough won't let up
bronchitis,I feel like i'm suffocating when i cough
bronchitis,"My cough is so loud and persistent, it's embarrassing"
bronchitis,I feel like i have a rattling in my chest when i breathe
bronchitis,"I can't stop coughing, it's exhausting"
bronchitis,I feel like i've been hit by a truck with all this coughing
bronchitis,I keep coughing until i gag
bronchitis,I feel like i'm drowning in phlegm
bronchitis,"My cough is so deep, it's painful"
bronchitis,"I can't catch my breath, even when i'm resting"
bronchitis,"My cough is so persistent, it's affecting my work"
bronchitis,I feel like i'm constantly fighting for air
bronchitis,"I cough so much, my ribs ache"
bronchitis,I can't even talk without coughing
bronchitis,I feel like i have a constant tickle in my throat
bronchitis,I feel like i'm breathing through a straw
bronchitis,"My cough is so dry, it's scratchy"
bronchitis,I have this nagging cough that won't go away
bronchitis,I cough until tears come to my eyes
bronchitis,My chest feels tight and heavy
bronchitis,I feel like i have a permanent frog in my throat
bronchitis,"I cough so hard, i feel dizzy"
bronchitis,I sound like a barking seal when i cough
bronchitis,I feel like i have a ton of bricks on my chest
bronchitis,My cough keeps me up all night
bronchitis,I feel like i'm constantly clearing my throat
bronchitis,I've lost my voice from all this coughing
bronchitis,I feel like a percussion instrument with all this chest rattling
bronchitis,"My cough is so deep, it shakes my whole body"
bronchitis,I feel like i have a constant ache in my chest
bronchitis,I cough until i taste blood
bronchitis,I feel like i have a constant itch in my throat
bronchitis,"My cough is so loud, it echoes in my head"
bronchitis,I feel like i'm breathing in shards of glass
bronchitis,My chest feels constricted every time i cough
bronchitis,"I cough so much, my stomach muscles hurt"
bronchitis,I'm constantly short of breath
bronchitis,I feel like i have a constant lump in my throat
bronchitis,I cough until i feel lightheaded
bronchitis,I feel like i'm suffocating from this cough
